UNIVERSIDAD,CENTRO,TÍTULO,"TIPO DE UNIV/ CENTRO","OFERTA DE PLAZAS 2019/2020","NOTA DE CORTE 2019/2020","NOTA MEDIA DE ADMISIÓN 2019/2020","RENDIM. MEDIO 2018/2019","CRÉDITOS NECESAR.","PRECIO DEL CRÉDITO 2019/2020" 
Universidad de Sevilla,Facultad de Medicina,"Grado en Biomedicina Básica y Experimental",Pública / Propio,50,"13,133","13,13",90 %,240,"12,62 €" 
"Universidad Autónoma de Madrid",Facultad de Medicina,Grado en Medicina,Pública / Propio,240,"13,075","13,26",94 %,360,"26,14 €" 
"Universidad Complutense de Madrid",Facultad de Medicina,Grado en Medicina,Pública / Propio,295,"13,044","13,13",92 %,360,"26,14 €" 
"Universidad Carlos III de Madrid","Escuela Politécnica Superior","Grado en Engineering Physics / Ingeniería Física",Pública / Propio,30,"12,975","13,15",,240,"24,55 €" 
"Universitat de València (Estudi General)","Facultad de Medicina y Odontología",Grado en Medicina,Pública / Propio,320,"12,92",n/d,89 %,360,"21,16 €" 
Universidad de Alcalá,"Facultad de Medicina y Ciencias de la Salud",Grado en Medicina,Pública / Propio,120,"12,918","12,92",88 %,360,"26,14 €" 
"Universidad Politécnica de Madrid","Escuela Técnica Superior de Ingeniería",Grado en Biotecnología,Pública / Propio,88,"12,914","13,05",90 %,240,"26,14 €" 
"","Agronómica, Alimentaria y de Biosistemas",,,,,,,, 
"Universidad de Granada",Facultad de Medicina,Grado en Medicina,Pública / Propio,253,"12,904","13,07",91 %,360,"12,62 €" 
Universidad de Sevilla,Facultad de Medicina,Grado en Medicina,Pública / Propio,291,"12,89","12,89",89 %,360,"12,62 €" 
"Universidad Rey Juan Carlos","Facultad de Ciencias de la Salud. Campus de Alcorcón",Grado en Medicina,Pública / Propio,150,"12,884","12,88",91 %,360,"26,14 €" 
"Universidad Carlos III de Madrid","Escuela Politécnica Superior","Grado en Ingeniería Biomédica",Pública / Propio,70,"12,874","13,28",95 %,240,"26,14 €" 
"Universidad Miguel Hernández de Elche",Facultad de Medicina,Grado en Medicina,Pública / Propio,130,"12,87","12,87",90 %,360,"21,16 €" 
Universidad de Málaga,Facultad de Medicina,Grado en Medicina,Pública / Propio,160,"12,845","12,85",85 %,360,"12,62 €" 
"Universidad Jaume I de Castellón","Facultad de Ciencias de la Salud",Grado en Medicina,Pública / Propio,80,"12,84",n/d,94 %,360,"21,16 €" 
"Universidad Carlos III de Madrid","Facultad de Ciencias Sociales y Jurídicas","Grado en Filosofía, Política y Economía",Pública / Propio,15,"12,798","13,13",90 %,240,"21,39 €" 
"Universidad Autónoma de Madrid",Facultad de Ciencias,Grado en Física,Pública / Propio,125,"12,794","13,2",89 %,240,"24,55 €" 
"Universidad de Córdoba","Facultad de Medicina y Enfermería",Grado en Medicina,Pública / Propio,130,"12,791",n/d,90 %,360,"12,62 €" 
"Universidad Pompeu Fabra","Facultad de Ciencias Políticas y Sociales","Grado en Filosofía, Política y Economía",Pública / Propio,30,"12,774","13,21",100 %,240,"25,27 €" 
"Universidad Politécnica de Catalunya","Facultad de Matemáticas y Estadística",Grado en Matemáticas,Pública / Propio,50,"12,762","13,1",79 %,240,"35,77 €" 
Universidad de Cádiz,Facultad de Medicina,Grado en Medicina,Pública / Propio,154,"12,709","12,71",87 %,360,"12,62 €" 
"Universidad Autónoma de Madrid",Facultad de Ciencias,Grado en Bioquímica,Pública / Propio,80,"12,679","13,08",97 %,240,"26,14 €" 
"Universidad de Castilla- La Mancha","Facultad de Medicina de Ciudad Real",Grado en Medicina,Pública / Propio,75,"12,679","12,89",95 %,360,"18,87 €" 
"Universidad de La Laguna","Facultad de Ciencias de la Salud",Grado en Medicina,Pública / Propio,130,"12,677","12,94",86 %,360,"14,59 €" 
"Universidad de Castilla- La Mancha","Facultad de Medicina de Albacete",Grado en Medicina,Pública / Propio,125,"12,668","13,02",95 %,360,"18,87 €" 
"Universitat de València (Estudi General)","Facultad de Ciencias Biológicas","Grado en Bioquímica y Ciencias Biomédicas",Pública / Propio,80,"12,65","12,7",91 %,240,"20,27 €" 
"Universidad Carlos III de Madrid","Escuela Politécnica Superior","Grado en Ingeniería Aeroespacial",Pública / Propio,95,"12,646","12,93",89 %,240,"24,55 €" 
Universidad de Murcia,Facultad de Medicina,Grado en Medicina,Pública / Propio,200,"12,644","12,88",88 %,360,"16,78 €" 
"Universidad de Barcelona","Facultad de Medicina y Ciencias de la Salud",Grado en Medicina,Pública / Propio,259,"12,634","12,83",95 %,360,"39,53 €" 
"Universidad Carlos III de Madrid","Facultad de Ciencias Sociales y Jurídicas","Grado en Management and Technology/ Empresa y Tecnología",Pública / Propio,50,"12,618","12,72",97 %,240,"21,39 €" 
Universidad de Sevilla,Facultad de Biología,Grado en Bioquímica,Pública / Propio,55,"12,578","12,94",87 %,240,"12,62 €" 
"Universidad Autónoma de Madrid",Facultad de Ciencias,Grado en Matemáticas,Pública / Propio,75,"12,571","12,91",87 %,240,"21,39 €" 
"Universidad de Extremadura","Facultad de Medicina y Ciencias de la Salud",Grado en Medicina,Pública / Propio,120,"12,547","12,84",93 %,360,"18,51 €" 
"Universidad Complutense de Madrid","Facultad de Ciencias Químicas",Grado en Bioquímica,Pública / Propio,44,"12,546","12,89",95 %,240,"26,14 €" 
"Universidad de Zaragoza",Facultad de Medicina,Grado en Medicina,Pública / Propio,180,"12,516","12,82",96 %,360,"23,39 €" 
"Universidad Politécnica de Madrid","Escuela Técnica Superior de Ingenieros de Telecomunicación","Grado en Ingeniería Biomédica",Pública / Propio,90,"12,51","12,51",89 %,240,"26,14 €" 
"Universitat Politècnica de València","Escuela Técnica Superior de Ingeniería del Diseño","Grado en Ingeniería Aeroespacial",Pública / Propio,120,"12,5","12,88",96 %,240,"20,27 €" 
"Universidad Pública de Navarra","Facultad de Ciencias de la Salud",Grado en Medicina,Pública / Propio,60,"12,5","12,71",,360,"23,05 €" 
"Universitat de València (Estudi General)","Facultad de Medicina y Odontología",Grado en Odontología,Pública / Propio,80,"12,5",n/d,88 %,300,"21,16 €" 
"Universidad Pompeu Fabra","Facultad de Ciencias de la Salud y de la Vida",Grado en Medicina,Pública / Propio,60,"12,494","12,75",95 %,360,"39,53 €" 
"Universidad de Las Palmas de Gran Canaria","Facultad de Ciencias de la Salud",Grado en Medicina,Pública / Propio,135,"12,491","12,93",90 %,360,"14,59 €" 
Universidad de Oviedo,"Facultad de Medicina y Ciencias de la Salud",Grado en Medicina,Pública / Propio,153,"12,489",n/d,89 %,360,"15,70 €" 
"Universidad del País Vasco/Euskal Herriko Unibertsitatea","Facultad de Ciencia y Tecnología","Grado en Bioquímica y Biología Molecular",Pública / Propio,40,"12,481","12,73",94 %,240,"19,84 €" 
"Universidad Politécnica de Catalunya","Escuela Técnica Superior de Ingeniería de Telecomunicación","Grado en Ingeniería Física",Pública / Propio,40,"12,476","13,09",92 %,240,"39,53 €" 
"Universidad de Valladolid",Facultad de Medicina,Grado en Medicina,Pública / Propio,180,"12,476","12,57",90 %,360,"22,93 €" 
"Universidad de Salamanca",Facultad de Medicina,Grado en Medicina,Pública / Propio,180,"12,446","12,45",89 %,360,"22,93 €" 
"Universidad del País Vasco/Euskal Herriko Unibertsitatea","Facultad de Medicina y Enfermería",Grado en Medicina,Pública / Propio,330,"12,446","12,75",94 %,360,"19,84 €" 
Universidad de Alcalá,Facultad de Ciencias,"Grado en Biología Sanitaria",Pública / Propio,100,"12,408","12,7",93 %,240,"26,14 €" 
"Universidad de Salamanca",Facultad de Biología,Grado en Biotecnología,Pública / Propio,35,"12,408","13,16",93 %,240,"18,32 €" 
"Universidad de Santiago de Compostela","Facultad de Medicina y Odontología",Grado en Medicina,Pública / Propio,360,"12,408","12,61",86 %,360,"13,93 €" 
"Universidad Pompeu Fabra","Facultad de Economía y Empresa","Grado en Estudios Internacionales de Economía y Empresa / International Business Economics",Pública / Propio,90,"12,4","12,58",95 %,240,"25,27 €" 
Universidad de Sevilla,"Escuela Técnica Superior de Ingeniería","Grado en Ingeniería Aeroespacial",Pública / Propio,130,"12,4","12,88",65 %,240,"12,62 €" 
"Universidad Carlos III de Madrid","Facultad de Ciencias Sociales y Jurídicas","Grado en Estudios Internacionales",Pública / Propio,75,"12,394","12,57",95 %,240,"21,39 €" 
"Universitat de València (Estudi General)",Facultad de Física,Grado en Física,Pública / Propio,80,"12,39","12,42",85 %,240,"16,41 €" 
"Universidad Autónoma de Barcelona",Facultad de Biociencias,"Grado en Ciencias Biomédicas",Pública / Propio,60,"12,383","12,67",92 %,240,"39,53 €" 
"Universidad de Cantabria",Facultad de Medicina,Grado en Medicina,Pública / Propio,119,"12,355","12,4",89 %,360,"16,07 €" 
"Universidad de Zaragoza","Facultad de Ciencias de la Salud y del Deporte",Grado en Medicina,Pública / Propio,44,"12,354","12,35",96 %,360,"23,39 €" 
"Universidad de Granada",Facultad de Ciencias,Grado en Biotecnología,Pública / Propio,50,"12,35","12,92",90 %,240,"12,62 €" 
"Universidad de Santiago de Compostela",Facultad de Biología,Grado en Biotecnología,Pública / Propio,50,"12,338","12,66",84 %,240,"13,93 €" 
"Universidad de Granada",Facultad de Ciencias,Grado en Bioquímica,Pública / Propio,55,"12,325","12,86",92 %,240,"12,62 €" 
"Universidad Politécnica de Catalunya",Facultad de Informática,"Grado en Ciencia e Ingeniería de Datos",Pública / Propio,50,"12,318","12,69",89 %,240,"39,53 €" 
"Universidad Autónoma de Barcelona",Facultad de Medicina,Grado en Medicina,Pública / Propio,320,"12,3","12,44",90 %,360,"39,53 €" 
"Universidad de Barcelona","Facultad de Medicina y Ciencias de la Salud","Grado en Ingeniería Biomédica",Pública / Propio,40,"12,288","12,84",93 %,240,"39,53 €" 
"Universitat de les Illes Balears",Facultad de Medicina,Grado en Medicina,Pública / Propio,60,"12,281",n/d,89 %,360,"20,82 €" 
"Universidad Pompeu Fabra","Facultad de Humanidades","Grado en Estudios Globales / Global Studies",Pública / Propio,40,"12,272","12,73",93 %,180,"25,27 €" 
"Universidad de La Rioja","Facultad de Ciencia y Tecnología de la Universidad de La Rioja",Grado en Matemáticas,Pública / Propio,25,"12,268",n/d,71 %,240,"14,60 €" 
"Universidad Carlos III de Madrid","Escuela Politécnica Superior","Grado en Applied Mathematics and Computing / Matemática Aplicada y Computación",Pública / Propio,30,"12,26","12,63",,240,"24,55 €" 
Universidad de Sevilla,Facultad de Odontología,Grado en Odontología,Pública / Propio,95,"12,236","12,41",84 %,300,"12,62 €" 
"Universidad Complutense de Madrid",Facultad de Odontología,Grado en Odontología,Pública / Propio,100,"12,229","12,65",88 %,300,"26,14 €" 
Universidad de Girona,Facultad de Medicina,Grado en Medicina,Pública / Propio,80,"12,197","12,22",96 %,360,"39,53 €" 
"Universidad Pablo de Olavide","Facultad de Ciencias Experimentales",Grado en Biotecnología,Pública / Propio,60,"12,195","12,29",92 %,240,"12,62 €" 
"Universidad Rovira i Virgili","Facultad de Medicina y Ciencias de la Salud",Grado en Medicina,Pública / Propio,125,"12,182","12,37",96 %,360,"39,53 €" 
Universidad de Lleida,Facultad de Medicina,Grado en Medicina,Pública / Propio,110,"12,18","12,27",94 %,360,"39,53 €" 
"Universidad Rey Juan Carlos","Facultad de Ciencias de la Salud. Campus de Alcorcón",Grado en Odontología,Pública / Propio,40,"12,175","12,18",87 %,300,"26,14 €" 
"Universidad Complutense de Madrid","Facultad de Ciencias Matemáticas",Grado en Matemáticas,Pública / Propio,142,"12,174","12,51",72 %,240,"21,39 €" 
"Universitat Politècnica de València","Escuela Técnica Superior de Ingeniería Industrial","Grado en Ingeniería Biomédica",Pública / Propio,75,"12,16","12,57",91 %,240,"20,27 €" 
"Universitat Politècnica de València","Escuela Técnica Superior de Ingeniería Agronómica y del Medio Natural",Grado en Biotecnología,Pública / Propio,115,"12,13","12,54",97 %,240,"20,27 €" 
"Universidad Politécnica de Madrid","Escuela Técnica Superior de Ingenieros Industriales","Grado en Ingeniería de Organización",Pública / Propio,50,"12,125","12,39",84 %,240,"24,55 €" 
"Universidad Complutense de Madrid","Facultad de Ciencias Físicas",Grado en Física,Pública / Propio,225,"12,122","12,66",78 %,240,"24,55 €" 
"Universidad Politécnica de Catalunya","Escuela Superior de Ingenierías Industrial, Aeroespacial y Audiovisual de Terrassa","Grado en Ingeniería en Tecnologías Aeroespaciales",Pública / Propio,60,"12,11","12,74",90 %,240,"39,53 €" 
"Universidad de Granada",Facultad de Odontología,Grado en Odontología,Pública / Propio,85,"12,11","12,14",90 %,300,"12,62 €" 
"Universidad del País Vasco/Euskal Herriko Unibertsitatea","Facultad de Ciencia y Tecnología",Grado en Biotecnología,Pública / Propio,40,"12,108","12,5",89 %,240,"19,84 €" 
"Universitat de València (Estudi General)","Escuela Universitaria de Enfermería La Fe",Grado en Enfermería,Pública / Adscrito,70,"12,09",n/d,92 %,240, 
Universidad de Málaga,Facultad de Ciencias,Grado en Bioquímica,Pública / Propio,65,"12,089","12,57",84 %,240,"12,62 €" 
"Universidad de Barcelona",Facultad de Biología,"Grado en Ciencias Biomédicas",Pública / Propio,155,"12,078","12,56",94 %,240,"39,53 €" 
Universidad de Sevilla,"Facultad de Enfermería, Fisioterapia y Podología",Grado en Fisioterapia,Pública / Propio,105,"12,05",n/d,91 %,240,"12,62 €" 
"Universidad Politécnica de Madrid","Escuela Técnica Superior de Ingeniería y Diseño Industrial","Grado en Ingeniería en Diseño Industrial y Desarrollo de Producto",Pública / Propio,60,"12,029","12,2",85 %,240,"24,55 €" 
"Universidad Politécnica de Catalunya","Escuela Técnica Superior de Ingeniería Industrial de Barcelona","Grado en Tecnologías Industriales y Análisis Económico / Industrial Technologies and Economic Analysis",Pública / Propio,50,"12,024","12,5",97 %,240,"39,53 €" 
"Universitat de València (Estudi General)",Facultad de Economía,"Grado en Negocios Internacionales\ International Business",Pública / Propio,150,"12,01","12,45",94 %,240,"14,96 €" 
Universidad de Alicante,Facultad de Ciencias,Grado en Física,Pública / Propio,50,"12,01",n/d,72 %,240,"16,41 €" 
"Universidad Politécnica de Madrid","Escuela Técnica Superior de Ingenieros Informáticos","Grado en Matemáticas e Informática",Pública / Propio,50,"11,989","12,31",76 %,240,"21,39 €" 
"Universidad Rey Juan Carlos","Escuela Técnica Superior de Ingeniería de Telecomunicación. Campus de Fuenlabrada","Grado en Ingeniería Biomédica",Pública / Propio,60,"11,975",n/d,85 %,240,"26,14 €" 
"Universidad Rey Juan Carlos","Escuela Técnica Superior de Ingeniería Informática. Campus de Móstoles",Grado en Matemáticas,Pública / Propio,15,"11,961","12,23",70 %,240,"21,39 €" 
"Universidad Complutense de Madrid","Facultad de Ciencias Matemáticas","Grado en Ingeniería Matemática",Pública / Propio,58,"11,949","12,47",73 %,240,"24,55 €" 
"Universidad Autónoma de Barcelona",Facultad de Ciencias,Grado en Física,Pública / Propio,70,"11,92","12,37",84 %,240,"35,77 €" 
"Universidad Pompeu Fabra",Escuela de Ingeniería,"Grado en Ingeniería Biomédica",Pública / Propio,40,"11,898","12,49",89 %,240,"39,53 €" 
"Universidad de Granada","Facultad de Ciencias de la Salud",Grado en Fisioterapia,Pública / Propio,61,"11,89","11,97",88 %,240,"12,62 €" 
"Universidad del País Vasco/Euskal Herriko Unibertsitatea","Facultad de Medicina y Enfermería",Grado en Odontología,Pública / Propio,35,"11,888","12,18",93 %,300,"19,84 €" 
"Universidad Complutense de Madrid","Facultad de Ciencias Matemáticas","Grado en Matemáticas y Estadística",Pública / Propio,42,"11,886","11,89",64 %,240,"21,39 €" 
"Universidad de Zaragoza",Facultad de Ciencias,Grado en Biotecnología,Pública / Propio,66,"11,871","12,52",91 %,240,"23,39 €" 
"Universidad de Córdoba",Facultad de Ciencias,Grado en Bioquímica,Pública / Propio,50,"11,861","12,32",93 %,240,"12,62 €" 
Universidad de León,"Facultad de Ciencias Biológicas y Ambientales",Grado en Biotecnología,Pública / Propio,50,"11,835","12,28",93 %,240,"18,32 €" 
"Universidad Rey Juan Carlos","Escuela Técnica Superior de Ingeniería de Telecomunicación. Campus de Alcorcón","Grado en Ingeniería Biomédica",Pública / Propio,60,"11,834","11,9",85 %,240,"26,14 €" 
"Universitat de València (Estudi General)","Facultad de Ciencias Matemáticas",Grado en Matemáticas,Pública / Propio,100,"11,83","12,17",81 %,240,"16,41 €" 
"Universidad Autónoma de Barcelona",Facultad de Biociencias,Grado en Genética,Pública / Propio,60,"11,825","12,2",92 %,240,"35,77 €" 
"Universidad del País Vasco/Euskal Herriko Unibertsitatea","Facultad de Ciencia y Tecnología",Grado en Física,Pública / Propio,70,"11,812","12,54",73 %,240,"19,19 €" 
Universidad de Lleida,Facultad de Medicina,"Grado en Ciencias Biomédicas",Pública / Propio,45,"11,792","12,1",97 %,240,"39,53 €" 
"Universidad Complutense de Madrid",Facultad de Veterinaria,Grado en Veterinaria,Pública / Propio,155,"11,79","12,02",77 %,300,"26,14 €" 
"Universitat de València (Estudi General)","Facultad de Ciencias Biológicas",Grado en Biotecnología,Pública / Propio,80,"11,78",n/d,92 %,240,"20,27 €" 
"Universidad Pompeu Fabra","Facultad de Comunicación","Grado en Publicidad y Relaciones Públicas",Pública / Propio,80,"11,772","12,06",98 %,240,"35,77 €" 
Universidad de Málaga,"Facultad de Ciencias de la Salud",Grado en Fisioterapia,Pública / Propio,65,"11,77","11,92",90 %,240,"12,62 €" 
"Universidad Politécnica de Cartagena","Centro Universitario de la Defensa","Grado en Ingeniería en Organización Industrial",Pública / Adscrito,-,-,"12,38",99 %,240, 
"Universidad Politécnica de Madrid","Escuela Técnica Superior de Ingeniería Aeronáutica y del Espacio","Grado en Ingeniería Aeroespacial",Pública / Propio,525,"11,733","12,24",71 %,240,"24,55 €" 
"Universidad de Valladolid",Facultad de Ciencias,Grado en Matemáticas,Pública / Propio,35,"11,731","12,36",69 %,240,"14,05 €" 
"Universidad de Zaragoza","Facultad de Ciencias de la Salud y del Deporte",Grado en Odontología,Pública / Propio,36,"11,711","11,71",94 %,300,"23,39 €" 
"Universitat de València (Estudi General)","Facultad de Filología, Traducción y Comunicación","Grado en Traducción y Mediación Interlingüística",Pública / Propio,100,"11,71","11,31",86 %,240,"14,96 €" 
Universidad de Alicante,Facultad de Ciencias,Grado en Matemáticas,Pública / Propio,50,"11,71","11,71",68 %,240,"16,41 €" 
