Municipios > 100000 hab.;Sexo;Grupo de edad;Total
Alicante/Alacant. Elche/Elx;ambos sexos;Total;7
Alicante/Alacant. Elche/Elx;ambos sexos;menos de 24 horas;3
Alicante/Alacant. Elche/Elx;ambos sexos;de 1 a 6 días;3
Alicante/Alacant. Elche/Elx;ambos sexos;de 7 a 27 días;..
Alicante/Alacant. Elche/Elx;ambos sexos;de 28 días a 2 meses;..
Alicante/Alacant. Elche/Elx;ambos sexos;de 3 a 5 meses;1
Alicante/Alacant. Elche/Elx;ambos sexos;de 6 a 8 meses;..
Alicante/Alacant. Elche/Elx;ambos sexos;de 9 a 11 meses;..
Alicante/Alacant. Elche/Elx;hombres;Total;4
Alicante/Alacant. Elche/Elx;hombres;menos de 24 horas;1
Alicante/Alacant. Elche/Elx;hombres;de 1 a 6 días;2
Alicante/Alacant. Elche/Elx;hombres;de 7 a 27 días;..
Alicante/Alacant. Elche/Elx;hombres;de 28 días a 2 meses;..
Alicante/Alacant. Elche/Elx;hombres;de 3 a 5 meses;1
Alicante/Alacant. Elche/Elx;hombres;de 6 a 8 meses;..
Alicante/Alacant. Elche/Elx;hombres;de 9 a 11 meses;..
Alicante/Alacant. Elche/Elx;mujeres;Total;3
Alicante/Alacant. Elche/Elx;mujeres;menos de 24 horas;2
Alicante/Alacant. Elche/Elx;mujeres;de 1 a 6 días;1
Alicante/Alacant. Elche/Elx;mujeres;de 7 a 27 días;..
Alicante/Alacant. Elche/Elx;mujeres;de 28 días a 2 meses;..
Alicante/Alacant. Elche/Elx;mujeres;de 3 a 5 meses;..
Alicante/Alacant. Elche/Elx;mujeres;de 6 a 8 meses;..
Alicante/Alacant. Elche/Elx;mujeres;de 9 a 11 meses;..
Asturias. Gijón;ambos sexos;Total;3
Asturias. Gijón;ambos sexos;menos de 24 horas;1
Asturias. Gijón;ambos sexos;de 1 a 6 días;1
Asturias. Gijón;ambos sexos;de 7 a 27 días;..
Asturias. Gijón;ambos sexos;de 28 días a 2 meses;1
Asturias. Gijón;ambos sexos;de 3 a 5 meses;..
Asturias. Gijón;ambos sexos;de 6 a 8 meses;..
Asturias. Gijón;ambos sexos;de 9 a 11 meses;..
Asturias. Gijón;hombres;Total;1
Asturias. Gijón;hombres;menos de 24 horas;..
Asturias. Gijón;hombres;de 1 a 6 días;1
Asturias. Gijón;hombres;de 7 a 27 días;..
Asturias. Gijón;hombres;de 28 días a 2 meses;..
Asturias. Gijón;hombres;de 3 a 5 meses;..
Asturias. Gijón;hombres;de 6 a 8 meses;..
Asturias. Gijón;hombres;de 9 a 11 meses;..
Asturias. Gijón;mujeres;Total;2
