Fecha,Column 3,Column 4,Número
03/2020,Felipe VI,http://twitter.com/search?q=%22Felipe+VI%22,81545
03/2020,Felipe VI,http://twitter.com/search?q=%22Felipe+VI%22,81851
03/2020,Felipe VI,http://twitter.com/search?q=%22Felipe+VI%22,83630
06/2020,Felipe VI,http://twitter.com/search?q=%22Felipe+VI%22,10645
06/2020,Felipe VI,http://twitter.com/search?q=%22Felipe+VI%22,12414
06/2020,Felipe VI,http://twitter.com/search?q=%22Felipe+VI%22,13945
06/2020,Felipe VI,http://twitter.com/search?q=%22Felipe+VI%22,15484
06/2020,Felipe VI,http://twitter.com/search?q=%22Felipe+VI%22,17642
06/2020,Felipe VI,http://twitter.com/search?q=%22Felipe+VI%22,22866
06/2020,Felipe VI,http://twitter.com/search?q=%22Felipe+VI%22,35201
06/2020,Felipe VI,http://twitter.com/search?q=%22Felipe+VI%22,34751
06/2020,Felipe VI,http://twitter.com/search?q=%22Felipe+VI%22,34151
06/2020,Felipe VI,http://twitter.com/search?q=%22Felipe+VI%22,13229
06/2020,Felipe VI,http://twitter.com/search?q=%22Felipe+VI%22,10351
06/2020,Felipe VI,http://twitter.com/search?q=%22Felipe+VI%22,11360
06/2020,Felipe VI,http://twitter.com/search?q=%22Felipe+VI%22,12453
06/2020,Felipe VI,http://twitter.com/search?q=%22Felipe+VI%22,13743
06/2020,Felipe VI,http://twitter.com/search?q=%22Felipe+VI%22,15190
06/2020,Felipe VI,http://twitter.com/search?q=%22Felipe+VI%22,18503
06/2020,Felipe VI,http://twitter.com/search?q=%22Felipe+VI%22,20713
06/2020,Felipe VI,http://twitter.com/search?q=%22Felipe+VI%22,22744
06/2020,Felipe VI,http://twitter.com/search?q=%22Felipe+VI%22,24596
06/2020,Felipe VI,http://twitter.com/search?q=%22Felipe+VI%22,32539
06/2020,Felipe VI,http://twitter.com/search?q=%22Felipe+VI%22,32606
06/2020,Felipe VI,http://twitter.com/search?q=%22Felipe+VI%22,32687
06/2020,Felipe VI,http://twitter.com/search?q=%22Felipe+VI%22,32896
06/2020,Felipe VI,http://twitter.com/search?q=%22Felipe+VI%22,33712
