Fecha,Tweets,número
2020-06-03T13:16:37Z,FelizMiercoles,19485
2020-06-04T11:37:10Z,FelizJueves,12095
2020-06-04T12:37:19Z,FelizJueves,14941
2020-06-04T13:42:49Z,FelizJueves,18838
2020-06-04T19:47:30Z,FelizJueves,40814
2020-06-05T08:57:00Z,FelizJueves,47070
2020-06-06T12:32:51Z,FelizSabado,10344
2020-06-06T13:37:53Z,FelizSabado,14083
2020-06-06T13:37:53Z,Feliz Sábado,10243
2020-06-06T14:42:53Z,FelizSabado,18070
2020-06-06T18:42:56Z,FelizSabado,31865
2020-06-06T19:43:30Z,FelizSabado,34203
2020-06-06T20:43:32Z,FelizSabado,36105
2020-06-06T21:43:29Z,FelizSabado,38047
2020-06-06T22:48:26Z,FelizSabado,39533
2020-06-07T00:53:18Z,FelizSabado,43170
2020-06-07T01:48:19Z,FelizSabado,44077
2020-06-07T07:58:17Z,FelizSabado,44760
2020-06-07T09:03:17Z,FelizSabado,42408
2020-06-07T10:03:18Z,FelizSabado,41269
2020-06-07T11:03:21Z,FelizDomingo,11018
2020-06-07T11:03:21Z,FelizSabado,39509
2020-06-07T12:03:23Z,FelizDomingo,12691
2020-06-07T13:08:26Z,FelizDomingo,15843
2020-06-07T14:08:28Z,FelizDomingo,19853
2020-06-07T17:13:32Z,FelizDomingo,30168
2020-06-07T18:18:32Z,FelizDomingo,33364
2020-06-07T19:18:33Z,FelizDomingo,36283
2020-06-07T20:18:32Z,FelizDomingo,38810
2020-06-08T09:37:50Z,FelizLunes,10192
2020-06-08T11:37:52Z,FelizLunes,14854
2020-06-08T13:37:56Z,FelizLunes,22384
2020-06-08T19:42:58Z,FelizLunes,46750
2020-06-08T20:48:01Z,FelizLunes,49251
2020-06-09T00:55:04Z,FelizLunes,55668
2020-06-09T11:00:05Z,FelizMartes,10116
2020-06-09T12:00:06Z,FelizMartes,12420
2020-06-09T13:05:09Z,FelizMartes,15635
2020-06-09T19:08:33Z,FelizMartes,35032
2020-06-09T20:08:34Z,FelizMartes,37104
2020-06-10T00:13:11Z,FelizMartes,42454
2020-06-10T05:17:46Z,FelizMartes,45775
2020-06-10T06:17:49Z,FelizMartes,44703
2020-06-10T09:22:53Z,FelizMartes,40796
2020-06-10T11:23:05Z,FelizMiercoles,10521
2020-06-10T12:23:15Z,FelizMiercoles,12992
2020-06-10T13:28:18Z,FelizMiercoles,16721
2020-06-10T18:33:24Z,FelizMiercoles,33100
2020-06-10T19:33:24Z,FelizMiercoles,35552
2020-06-11T06:43:36Z,FelizMiercoles,45370
2020-06-11T07:43:36Z,FelizMiercoles,43962
2020-06-11T08:48:39Z,FelizMiercoles,42713
2020-06-11T12:53:41Z,FelizJueves,14419
2020-06-11T13:48:43Z,Felipe González,12938
2020-06-11T14:48:43Z,Felipe González,16235
2020-06-11T15:53:44Z,Felipe González,19344
2020-06-11T16:53:45Z,Felipe González,21809
2020-06-12T04:08:35Z,Felipe González,43289
2020-06-12T05:08:10Z,Felipe González,43936
2020-06-12T06:08:15Z,Felipe González,44764
2020-06-12T06:08:15Z,FelizJueves,45009
2020-06-12T07:08:36Z,Felipe González,45742
2020-06-12T07:08:36Z,FelizJueves,43546
2020-06-12T08:13:36Z,Felipe González,46978
2020-06-12T09:13:36Z,Felipe González,47549
2020-06-13T02:28:39Z,Felipe González,22811
2020-06-13T05:33:38Z,Felipe González,21487
2020-06-13T06:33:40Z,Felipe González,20759
2020-06-13T07:33:39Z,Felipe González,19915
2020-06-13T08:33:39Z,Felipe González,19122
2020-06-13T09:38:39Z,FelizSabado,10176
2020-06-13T09:38:39Z,Felipe González,18423
2020-06-13T10:33:40Z,FelizSabado,11974
2020-06-13T11:38:42Z,FelizSabado,14573
2020-06-13T13:43:49Z,FelizSabado,18692
2020-06-14T01:48:43Z,FelizSabado,36388
2020-06-14T06:53:37Z,FelizSabado,36580
2020-06-14T12:03:43Z,FelizDomingo,10508
2020-06-14T13:03:47Z,FelizDomingo,12986
2020-06-14T14:08:50Z,FelizDomingo,16563
2020-06-15T01:20:12Z,FelizDomingo,44718
2020-06-15T02:20:11Z,FelizDomingo,45725
2020-06-15T03:20:05Z,FelizDomingo,46577
2020-06-15T04:20:05Z,FelizDomingo,47333
2020-06-15T11:25:17Z,FelizLunes,11620
2020-06-15T12:30:21Z,FelizLunes,14513
2020-06-15T13:30:36Z,FelizLunes,18289
2020-06-16T02:45:17Z,Felipe González,96178
2020-06-16T03:45:06Z,Felipe González,95862
2020-06-16T04:45:06Z,Felipe González,95081
2020-06-16T05:45:04Z,Felipe González,92990
2020-06-16T06:45:07Z,Felipe González,89733
2020-06-16T07:45:08Z,Felipe González,86206
2020-06-16T08:50:19Z,Felipe González,82819
2020-06-16T08:50:19Z,FelizLunes,48163
2020-06-16T09:50:23Z,FelizLunes,47037
2020-06-16T10:50:25Z,FelizMartes,10852
2020-06-16T11:55:30Z,FelizMartes,13911
2020-06-16T12:50:35Z,FelizMartes,17370
2020-06-17T01:05:34Z,FelizMartes,49161
2020-06-17T02:05:28Z,FelizMartes,50131
2020-06-17T03:05:25Z,FelizMartes,50807
2020-06-17T07:10:29Z,FelizMartes,48164
2020-06-17T08:15:27Z,FelizMartes,46790
2020-06-17T11:15:29Z,FelizMiercoles,10453
2020-06-17T13:15:37Z,FelizMiercoles,16801
2020-06-18T07:36:23Z,FelizMiercoles,49191
2020-06-18T08:41:23Z,FelizMiercoles,47901
2020-06-18T09:36:24Z,FelizMiercoles,46740
2020-06-18T11:41:31Z,FelizJueves,11424
2020-06-18T12:41:36Z,FelizJueves,14789
2020-06-19T10:01:27Z,Felipe VI,10645
2020-06-19T11:06:27Z,Felipe VI,12414
2020-06-19T12:06:31Z,Felipe VI,13945
2020-06-19T13:06:32Z,Felipe VI,15484
2020-06-19T14:11:35Z,Felipe VI,17642
2020-06-19T16:11:39Z,Felipe VI,22866
2020-06-20T05:21:23Z,Felipe VI,35201
2020-06-20T06:26:23Z,Felipe VI,34751
2020-06-20T07:21:25Z,Felipe VI,34151
2020-06-20T12:31:34Z,FelizSabado,12835
2020-06-20T13:31:35Z,FelizSabado,15586
2020-06-20T15:31:46Z,FelizSabado,22886
2020-06-20T16:31:41Z,FelizSabado,26525
2020-06-21T12:53:44Z,FelizDomingo,10881
2020-06-21T13:58:47Z,FelizDomingo,13441
2020-06-21T14:58:47Z,FelizDomingo,16132
2020-06-21T16:58:49Z,FelizDiaDelPadre,95421
2020-06-21T17:58:50Z,Felipe y Letizia,15743
2020-06-21T19:58:48Z,Felipe y Letizia,18562
2020-06-22T03:10:04Z,FelizDomingo,33516
2020-06-22T04:10:03Z,FelizDomingo,34066
2020-06-22T05:10:03Z,Felipe y Letizia,24297
2020-06-22T05:10:03Z,FelizDomingo,34177
2020-06-22T06:10:05Z,Felipe y Letizia,24776
2020-06-22T06:10:05Z,FelizDomingo,33852
2020-06-22T07:15:07Z,Felipe y Letizia,25700
2020-06-22T07:15:07Z,FelizDomingo,33073
2020-06-22T08:15:10Z,Felipe y Letizia,26369
2020-06-22T08:15:10Z,FelizDomingo,32018
2020-06-22T09:15:09Z,Felipe y Letizia,26531
2020-06-22T11:15:13Z,FelizLunes,10454
2020-06-22T12:20:11Z,FelizLunes,12881
2020-06-22T13:20:15Z,FelizLunes,16311
2020-06-22T14:22:29Z,FelizLunes,21023
2020-06-22T15:20:15Z,FelizLunes,25535
2020-06-23T04:32:21Z,FelizLunes,56671
2020-06-23T05:37:20Z,FelizLunes,56034
2020-06-23T06:37:21Z,FelizLunes,54886
2020-06-23T07:37:23Z,FelizLunes,53547
2020-06-23T11:42:32Z,FelizMartes,10760
2020-06-23T12:47:31Z,FelizMartes,13706
2020-06-23T13:47:30Z,FelizMartes,17851
2020-06-24T02:59:07Z,FelizMartes,47929
2020-06-24T03:59:13Z,FelizMartes,48531
2020-06-24T12:04:16Z,FelizMiercoles,11307
2020-06-24T13:09:20Z,FelizMiercoles,14569
2020-06-25T02:21:52Z,FelizMiercoles,48074
2020-06-25T03:21:51Z,FelizMiercoles,48752
2020-06-25T04:21:47Z,FelizMiercoles,49308
2020-06-25T05:26:46Z,FelizMiercoles,49326
2020-06-25T06:26:47Z,FelizMiercoles,48631
2020-06-25T12:31:57Z,FelizJueves,11629
2020-06-25T13:37:13Z,FelizJueves,15617
2020-06-25T14:32:14Z,FelizJueves,19510
2020-06-25T15:32:02Z,FelizJueves,23382
2020-06-26T02:51:51Z,FelizJueves,50823
2020-06-26T03:47:16Z,FelizJueves,51496
2020-06-26T04:47:14Z,FelizJueves,51943
2020-06-27T07:17:53Z,FelizViernesATodos,19003
2020-06-27T15:23:22Z,FelizSabado,18655
2020-06-27T16:28:21Z,FelizSabado,22264
2020-06-28T02:38:14Z,FelizSabado,41309
2020-06-28T03:38:12Z,FelizSabado,41966
2020-06-28T12:43:19Z,FelizDomingo,10461
2020-06-28T13:48:21Z,FelizDomingo,13841
2020-06-29T12:09:09Z,FelizLunes,10613
2020-06-29T13:09:11Z,FelizLunes,14023
2020-06-29T14:09:13Z,FelizLunes,18483
2020-06-29T15:14:13Z,FelizLunes,24067
2020-06-29T16:14:13Z,FelizLunes,28551
2020-06-29T17:14:14Z,FelizLunes,32625
2020-06-30T00:24:09Z,Felices20Flavio,13930
2020-06-30T01:19:07Z,Felices20Flavio,14162
2020-06-30T03:24:05Z,Felices20Flavio,14319
2020-06-30T04:24:15Z,Felices20Flavio,14381
2020-06-30T05:24:13Z,Felices20Flavio,14515
2020-06-30T06:29:18Z,Felices20Flavio,14596
2020-06-30T07:29:20Z,Felices20Flavio,14823
2020-06-30T07:29:20Z,FelizLunes,49791
2020-06-30T08:29:23Z,Felices20Flavio,15115
2020-06-30T13:37:05Z,FelizMartes,16535
2020-06-30T14:42:31Z,FelizMartes,21088
2020-06-30T15:39:35Z,FelizMartes,24592
2020-07-01T02:49:21Z,FelizMartes,46146
2020-07-01T03:54:16Z,FelizMartes,46876
2020-07-01T04:49:16Z,FelizMartes,47177
2020-07-01T05:54:17Z,FelizMartes,47034
2020-07-01T06:54:23Z,FelizMartes,46010
2020-07-01T11:59:51Z,FelizMiercoles,10894
2020-07-01T13:59:57Z,FelizMiercoles,18532
2020-07-01T14:59:58Z,FelizMiercoles,22759
2020-07-01T15:59:59Z,FelizMiercoles,26529
2020-07-02T06:19:45Z,FelizMiercoles,47891
2020-07-02T07:19:48Z,FelizMiercoles,46558
2020-07-02T12:19:59Z,FelizJueves,12066
2020-07-02T13:25:01Z,FelizJueves,16031
2020-07-02T14:25:03Z,FelizJueves,20744
2020-07-02T15:25:04Z,FelizJueves,25005
2020-07-03T02:35:20Z,FelizJueves,46990
2020-07-04T13:10:42Z,FelizSabado,11740
2020-07-04T15:10:43Z,FelizSabado,18726
2020-07-05T03:25:35Z,Felices24Sofia,10050
2020-07-05T12:30:39Z,FelizDomingo,11437
2020-07-05T13:30:41Z,FelizDomingo,14182
2020-07-06T02:46:08Z,FelizDomingo,41956
2020-07-06T03:46:05Z,FelizDomingo,42512
2020-07-06T10:56:08Z,FelizLunes,10033
2020-07-06T11:56:09Z,FelizLunes,12292
2020-07-06T12:56:12Z,FelizLunes,15641
2020-07-06T15:01:16Z,FelizLunes,25201
2020-07-07T04:11:07Z,FelizLunes,52669
2020-07-07T07:16:09Z,FelizLunes,49473
2020-07-07T12:21:26Z,FelizMartes,11838
2020-07-07T13:16:30Z,FelizMartes,14848
2020-07-07T14:21:56Z,FelizMartes,19124
2020-07-07T15:26:48Z,FelizMartes,23012
2020-07-08T04:36:09Z,FelizMartes,44350
2020-07-08T05:36:07Z,FelizMartes,44036
2020-07-08T07:36:10Z,FelizMartes,41524
2020-07-08T08:41:13Z,Felipe VI,13229
2020-07-08T11:46:21Z,FelizMiercoles,10614
2020-07-08T12:41:29Z,FelizMiercoles,13312
2020-07-08T13:46:31Z,FelizMiercoles,17786
2020-07-08T14:46:38Z,FelizMiercoles,22120
2020-07-09T06:58:15Z,FelizMiercoles,46957
2020-07-09T08:03:15Z,FelizMiercoles,44366
2020-07-09T09:03:18Z,Felipe VI,10351
2020-07-09T10:03:20Z,Felipe VI,11360
2020-07-09T11:03:23Z,FelizJueves,10056
2020-07-09T11:03:23Z,Felipe VI,12453
2020-07-09T12:03:26Z,FelizJueves,12341
2020-07-09T12:03:26Z,Felipe VI,13743
2020-07-09T13:08:29Z,FelizJueves,15868
2020-07-09T13:08:29Z,Felipe VI,15190
2020-07-09T14:08:30Z,FelizJueves,19806
2020-07-09T15:08:38Z,Felipe VI,18503
2020-07-09T15:08:38Z,FelizJueves,23467
2020-07-09T16:08:33Z,Felipe VI,20713
2020-07-09T16:08:33Z,FelizJueves,27085
2020-07-09T17:08:34Z,Felipe VI,22744
2020-07-09T18:13:33Z,Felipe VI,24596
2020-07-10T02:23:24Z,Felipe VI,32539
2020-07-10T02:23:24Z,FelizJueves,46253
2020-07-10T03:21:37Z,Felipe VI,32606
2020-07-10T03:21:37Z,FelizJueves,47018
2020-07-10T04:21:35Z,FelizJueves,47542
2020-07-10T04:21:35Z,Felipe VI,32687
2020-07-10T05:26:33Z,FelizJueves,47396
